Date;Country;Sales_C3;Market;SegmentMix
2017-01-01;FR;5257;154240;22.3735
2017-02-01;FR;5686;166832;22.3735
2017-03-01;FR;7968;233803;22.3735
2017-04-01;FR;5918;173651;22.3735
2017-05-01;FR;6491;190462;22.3735
2017-06-01;FR;8111;237987;22.3735
2017-07-01;FR;5036;147769;22.3735
2017-08-01;FR;3610;105913;22.3735
2017-09-01;FR;5768;169234;22.3735
2017-10-01;FR;5864;172050;22.3735
2017-11-01;FR;5973;175248;22.3735
2017-12-01;FR;6256;183558;22.3735
2018-01-01;FR;5680;158376;23.2204
2018-02-01;FR;6151;171514;23.2204
2018-03-01;FR;8267;230511;23.2204
2018-04-01;FR;6703;186896;23.2204
2018-05-01;FR;6684;186380;23.2204
2018-06-01;FR;8778;244768;23.2204
2018-07-01;FR;5989;166982;23.2204
2018-08-01;FR;3906;108923;23.2204
2018-09-01;FR;5933;165428;23.2204
2018-10-01;FR;6583;183542;23.2204
2018-11-01;FR;6470;180405;23.2204
2018-12-01;FR;6805;189756;23.2204
2019-01-01;FR;5914;162144;23.8654
2019-02-01;FR;6396;175368;23.8654
2019-03-01;FR;8222;225431;23.8654
2019-04-01;FR;7314;200545;23.8654
2019-05-01;FR;7334;201093;23.8654
2019-06-01;FR;8279;226992;23.8654
2019-07-01;FR;6532;179088;23.8654
2019-08-01;FR;3889;106638;23.8654
2019-09-01;FR;6473;177493;23.8654
2019-10-01;FR;6839;187524;23.8654
2019-11-01;FR;6106;167423;23.8654
2019-12-01;FR;7460;204540;23.8654
2020-01-01;FR;5914;162144;23.8654
2020-02-01;FR;6396;175368;23.8654
2020-03-01;FR;8222;225431;23.8654
2020-04-01;FR;7314;200545;23.8654
2020-05-01;FR;7334;201093;23.8654
2020-06-01;FR;8279;226992;23.8654
2020-07-01;FR;6532;179088;23.8654
2020-08-01;FR;3889;106638;23.8654
2020-09-01;FR;6473;177493;23.8654
2020-10-01;FR;6839;187524;23.8654
2020-11-01;FR;6106;167423;23.8654
2020-12-01;FR;7460;204540;23.8654
2021-01-01;FR;0;132540;22.5567
2021-02-01;FR;0;143350;22.5567
2021-03-01;FR;0;184272;22.5567
2021-04-01;FR;0;163930;22.5567
2021-05-01;FR;0;164378;22.5567
2021-06-01;FR;0;185548;22.5567
2021-07-01;FR;0;146390;22.5567
2021-08-01;FR;0;87168;22.5567
2021-09-01;FR;0;145086;22.5567
2021-10-01;FR;0;153287;22.5567
2021-11-01;FR;0;136855;22.5567
2021-12-01;FR;0;167195;22.5567
2022-01-01;FR;0;136714;20.5248
2022-02-01;FR;0;147864;20.5248
