Date;Country;Sales_2008;Market;SegmentMix
2022-02-01;ES;0;88370;19.7447
2022-03-01;ES;0;119030;19.7447
2022-04-01;ES;0;110191;19.7447
2022-05-01;ES;0;113002;19.7447
2022-06-01;ES;0;107684;19.7447
2022-07-01;ES;0;110277;19.7447
2022-08-01;ES;0;84404;19.7447
2022-09-01;ES;0;99115;19.7447
2022-10-01;ES;0;101910;19.7447
2022-11-01;ES;0;97813;19.7447
2022-12-01;ES;0;88034;19.7447
2023-01-01;ES;0;91014;19.9652
2023-02-01;ES;0;90198;19.9652
2023-03-01;ES;0;121492;19.9652
2023-04-01;ES;0;112470;19.9652
2023-05-01;ES;0;115339;19.9652
2023-06-01;ES;0;109910;19.9652
2023-07-01;ES;0;112557;19.9652
2023-08-01;ES;0;86150;19.9652
2023-09-01;ES;0;101164;19.9652
2023-10-01;ES;0;104017;19.9652
2023-11-01;ES;0;99835;19.9652
2023-12-01;ES;0;89854;19.9652
2024-01-01;ES;0;93153;20.704
2024-02-01;ES;0;92318;20.704
2024-03-01;ES;0;124347;20.704
2024-04-01;ES;0;115113;20.704
2024-05-01;ES;0;118049;20.704
2024-06-01;ES;0;112493;20.704
2024-07-01;ES;0;115202;20.704
2024-08-01;ES;0;88174;20.704
2024-09-01;ES;0;103541;20.704
2024-10-01;ES;0;106462;20.704
2024-11-01;ES;0;102181;20.704
2024-12-01;ES;0;91966;20.704
2025-01-01;ES;0;93743;21.1305
2025-02-01;ES;0;92902;21.1305
2025-03-01;ES;0;125134;21.1305
2025-04-01;ES;0;115842;21.1305
2025-05-01;ES;0;118797;21.1305
2025-06-01;ES;0;113206;21.1305
2025-07-01;ES;0;115932;21.1305
2025-08-01;ES;0;88733;21.1305
2025-09-01;ES;0;104197;21.1305
2025-10-01;ES;0;107136;21.1305
2025-11-01;ES;0;102829;21.1305
2025-12-01;ES;0;92548;21.1305
2026-01-01;ES;0;94333;20.9427
2026-02-01;ES;0;93487;20.9427
2026-03-01;ES;0;125922;20.9427
2026-04-01;ES;0;116571;20.9427
2026-05-01;ES;0;119545;20.9427
2026-06-01;ES;0;113919;20.9427
2026-07-01;ES;0;116662;20.9427
2026-08-01;ES;0;89291;20.9427
2026-09-01;ES;0;104853;20.9427
2026-10-01;ES;0;107810;20.9427
2026-11-01;ES;0;103476;20.9427
2026-12-01;ES;0;93131;20.9427
2027-01-01;ES;0;93153;21.0196
2027-02-01;ES;0;92318;21.0196
2027-03-01;ES;0;124347;21.0196
2027-04-01;ES;0;115113;21.0196
2027-05-01;ES;0;118049;21.0196
2027-06-01;ES;0;112493;21.0196
2027-07-01;ES;0;115202;21.0196
2027-08-01;ES;0;88174;21.0196
2027-09-01;ES;0;103541;21.0196
2027-10-01;ES;0;106462;21.0196
2027-11-01;ES;0;102181;21.0196
2027-12-01;ES;0;91966;21.0196
2013-01-01;FR;2047;130835;5.7853
2013-02-01;FR;2214;141516;5.7853
2013-03-01;FR;3103;198325;5.7853
2013-04-01;FR;2304;147301;5.7853
2013-05-01;FR;2528;161561;5.7853
2013-06-01;FR;3158;201874;5.7853
2013-07-01;FR;1961;125346;5.7853
2013-08-01;FR;1406;89841;5.7853
2013-09-01;FR;2246;143553;5.7853
2013-10-01;FR;2283;145943;5.7853
2013-11-01;FR;2326;148655;5.7853
2013-12-01;FR;2436;155704;5.7853
2014-01-01;FR;3958;131232;9.5403
2014-02-01;FR;4281;141945;9.5403
2014-03-01;FR;5999;198927;9.5403
2014-04-01;FR;4456;147747;9.5403
2014-05-01;FR;4887;162050;9.5403
2014-06-01;FR;6107;202486;9.5403
2014-07-01;FR;3792;125726;9.5403
2014-08-01;FR;2718;90114;9.5403
2014-09-01;FR;4342;143989;9.5403
2014-10-01;FR;4415;146385;9.5403
2014-11-01;FR;4497;149106;9.5403
2014-12-01;FR;4710;156176;9.5403
2015-01-01;FR;4619;140099;11.7381
2015-02-01;FR;4996;151536;11.7381
2015-03-01;FR;7001;212367;11.7381
2015-04-01;FR;5200;157730;11.7381
2015-05-01;FR;5703;173000;11.7381
2015-06-01;FR;7126;216168;11.7381
2015-07-01;FR;4425;134221;11.7381
2015-08-01;FR;3171;96202;11.7381
2015-09-01;FR;5068;153718;11.7381
2015-10-01;FR;5152;156276;11.7381
2015-11-01;FR;5248;159181;11.7381
2015-12-01;FR;5496;166728;11.7381
2016-01-01;FR;4822;147257;11.7494
2016-02-01;FR;5215;159278;11.7494
2016-03-01;FR;7309;223217;11.7494
2016-04-01;FR;5429;165788;11.7494
2016-05-01;FR;5954;181838;11.7494
2016-06-01;FR;7440;227212;11.7494
2016-07-01;FR;4619;141079;11.7494
2016-08-01;FR;3311;101117;11.7494
2016-09-01;FR;5290;161571;11.7494
2016-10-01;FR;5379;164260;11.7494
2016-11-01;FR;5479;167313;11.7494
2016-12-01;FR;5738;175247;11.7494
2017-01-01;FR;4967;154240;12.53
2017-02-01;FR;5373;166832;12.53
2017-03-01;FR;7530;233803;12.53
2017-04-01;FR;5593;173651;12.53
2017-05-01;FR;6134;190462;12.53
2017-06-01;FR;7665;237987;12.53
2017-07-01;FR;4759;147769;12.53
2017-08-01;FR;3411;105913;12.53
2017-09-01;FR;5450;169234;12.53
2017-10-01;FR;5541;172050;12.53
2017-11-01;FR;5644;175248;12.53
2017-12-01;FR;5912;183558;12.53
2018-01-01;FR;4830;158376;14.6592
2018-02-01;FR;5231;171514;14.6592
2018-03-01;FR;7030;230511;14.6592
2018-04-01;FR;5700;186896;14.6592
2018-05-01;FR;5684;186380;14.6592
2018-06-01;FR;7465;244768;14.6592
2018-07-01;FR;5092;166982;14.6592
2018-08-01;FR;3322;108923;14.6592
2018-09-01;FR;5045;165428;14.6592
2018-10-01;FR;5597;183542;14.6592
2018-11-01;FR;5502;180405;14.6592
2018-12-01;FR;5787;189756;14.6592
2019-01-01;FR;4517;162144;15.144
2019-02-01;FR;4886;175368;15.144
2019-03-01;FR;6280;225431;15.144
2019-04-01;FR;5587;200545;15.144
2019-05-01;FR;5602;201093;15.144
2019-06-01;FR;6324;226992;15.144
2019-07-01;FR;4989;179088;15.144
2019-08-01;FR;2971;106638;15.144
2019-09-01;FR;4945;177493;15.144
2019-10-01;FR;5224;187524;15.144
2019-11-01;FR;4664;167423;15.144
2019-12-01;FR;5698;204540;15.144
2020-01-01;FR;4517;162144;15.144
2020-02-01;FR;4886;175368;15.144
2020-03-01;FR;6280;225431;15.144
2020-04-01;FR;5587;200545;15.144
2020-05-01;FR;5602;201093;15.144
2020-06-01;FR;6324;226992;15.144
2020-07-01;FR;4989;179088;15.144
2020-08-01;FR;2971;106638;15.144
2020-09-01;FR;4945;177493;15.144
2020-10-01;FR;5224;187524;15.144
2020-11-01;FR;4664;167423;15.144
2020-12-01;FR;5698;204540;15.144
2021-01-01;FR;0;132540;17.9598
2021-02-01;FR;0;143350;17.9598
2021-03-01;FR;0;184272;17.9598
2021-04-01;FR;0;163930;17.9598
2021-05-01;FR;0;164378;17.9598
2021-06-01;FR;0;185548;17.9598
2021-07-01;FR;0;146390;17.9598
2021-08-01;FR;0;87168;17.9598
2021-09-01;FR;0;145086;17.9598
2021-10-01;FR;0;153287;17.9598
2021-11-01;FR;0;136855;17.9598
2021-12-01;FR;0;167195;17.9598
2022-01-01;FR;0;136714;18.6803
2022-02-01;FR;0;147864;18.6803
2022-03-01;FR;0;190075;18.6803
2022-04-01;FR;0;169093;18.6803
2022-05-01;FR;0;169555;18.6803
2022-06-01;FR;0;191391;18.6803
2022-07-01;FR;0;151000;18.6803
2022-08-01;FR;0;89913;18.6803
2022-09-01;FR;0;149655;18.6803
2022-10-01;FR;0;158114;18.6803
2022-11-01;FR;0;141165;18.6803
2022-12-01;FR;0;172461;18.6803
2023-01-01;FR;0;137293;18.1369
2023-02-01;FR;0;148490;18.1369
2023-03-01;FR;0;190879;18.1369
2023-04-01;FR;0;169808;18.1369
2023-05-01;FR;0;170272;18.1369
2023-06-01;FR;0;192201;18.1369
2023-07-01;FR;0;151639;18.1369
2023-08-01;FR;0;90294;18.1369
2023-09-01;FR;0;150289;18.1369
2023-10-01;FR;0;158783;18.1369
2023-11-01;FR;0;141763;18.1369
2023-12-01;FR;0;173190;18.1369
2024-01-01;FR;0;138142;18.4578
2024-02-01;FR;0;149408;18.4578
2024-03-01;FR;0;192060;18.4578
2024-04-01;FR;0;170859;18.4578
2024-05-01;FR;0;171326;18.4578
2024-06-01;FR;0;193390;18.4578
2024-07-01;FR;0;152578;18.4578
2024-08-01;FR;0;90852;18.4578
2024-09-01;FR;0;151218;18.4578
2024-10-01;FR;0;159765;18.4578
2024-11-01;FR;0;142640;18.4578
2024-12-01;FR;0;174262;18.4578
